"","palabra","media_agrado","media_activacion","media_imaginabilidad"
"278","arte",1,0.8,0.6
"279","sangre",0,0,1
"280","estrella",1,0.6,1
"281","edad",0,0,0
"282","derecho",0.2,0.6,0
"283","labio",0.4,0.4,1
"284","dios",0,0,-0.4
"285","pertenecer",0.4,0.4,-0.4
"286","continuar",0.6,0.8,-0.2
"287","matar",-1,0.4,0.6
"288","participar",0.8,1,0.4
"289","posible",0.8,0.2,0.4
"290","pueblo",0.6,-0.2,0.6
"291","medio",0,0,0.6
"292","despertar",0.8,0.8,1
"293","espacio",0.4,-0.6,0
"294","distrito",0,0,0
"295","minuto",-0.2,0.2,0
"296","cantar",0.8,1,0.8
"297","igual",0.2,0,0.6
"298","departamento",0.2,-0.2,0.8
"299","sacar",0.2,1,0.8
"300","nada",0,-0.4,0
"301","cambio",0.6,0.8,0
"302","gracia",0.8,0.2,0
"303","blanco",0.6,-0.4,1
"304","personaje",0.8,0.6,0.4
"305","semana",0,0.4,0.6
"306","ocupar",-0.2,0.8,0.2
"307","bajo",0,-0.2,1
"308","antiguo",0.6,-0.6,0.8
"309","localidad",0,0,0
"310","lleno",0.2,-0.4,1
"311","ser",0.8,1,0.2
"312","ocurrir",0.4,0.8,-0.6
"313","principio",0.4,0.4,-0.2
"314","negro",0,-0.4,0.8
"315","oscuro",0,-0.4,0.8
"316","ejército",-0.4,0.6,1
"317","densidad",0,-0.2,-0.2
"318","frente",0,-0.2,0
"319","hermoso",1,0.2,0.6
"320","feliz",1,0.8,0.4
"321","poblacional",0,-0.2,-0.4
"322","situación",0,0,-0.4
"323","detener",0,1,0.4
"324","ayudar",0.6,1,0.6
"325","leer",0.8,0.6,0.8
"326","anterior",0.2,-0.2,-0.4
"327","largo",-0.2,0,0.4
"328","acompañar",0.8,1,0.4
"329","abandonar",-0.8,0.8,0
"330","distinto",0.2,0.2,0.2
"331","social",0.4,0,0
"332","título",-0.2,0,0.6
"333","origen",0.2,-0.2,-0.2
"334","desarrollar",0.2,1,0.4
"335","actual",0,-0.2,0.2
"336","bello",0.8,-0.4,0.6
"337","mayoría",-0.2,0,0.4
"338","dedicar",0.4,0.8,0.6
"339","área",0.2,-0.6,0.6
"340","chico",-0.2,-0.4,1
"341","importar",0.4,0.4,0.6
"342","clase",0.4,0.2,0.6
"343","político",-0.2,0.4,-0.4
"344","internacional",0.2,-0.2,0
"345","especial",0.6,-0.2,0.4
"346","sentimiento",0.4,0,0.2
"347","alto",0.2,-0.2,0.6
"348","nivel",0.2,0.2,0.4
"349","árbol",0.6,-0.4,1
"350","disco",0.4,0,1
"351","pensamiento",0.6,0.4,0
"352","cama",0.6,-0.2,1
"353","extraño",0.2,-0.2,0.2
