"","word","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"152","fuerte",2.6,2.8,2.2,0.5477,0.4472,1.0954,"adjetivo"
"153","demografía",2,1.8333,1.5,0,0.4082,0.5477,"sustantivo"
"154","club",2.6667,2.5,2.6667,0.5164,0.5477,0.8165,"sustantivo"
"155","resto",2.1667,2,1.8333,0.4082,0,0.9832,"sustantivo"
"156","temporada",2.3333,2.1667,1.6667,0.5164,0.4082,0.8165,"sustantivo"
"157","servicio",2.6,2.4,1.6,0.5477,0.8944,0.8944,"sustantivo"
"158","beso",3,3,3,0,0,0,"sustantivo"
"159","presidente",1.8,2.8,3,0.4472,0.4472,0,"sustantivo"
"160","sentido",2.4,2.4,1.6,0.5477,0.5477,0.8944,"sustantivo"
"161","sonrisa",3,3,3,0,0,0,"sustantivo"
"162","razón",2.6,2.6,1.8,0.5477,0.5477,1.0954,"sustantivo"
"163","miembro",2.4,2.6,2.8,0.5477,0.5477,0.4472,"sustantivo"
"164","movimiento",2.6,2.6,2.8,0.5477,0.8944,0.4472,"sustantivo"
"165","relación",3,3,2.4,0,0,0.8944,"sustantivo"
"166","frente",2,2,2.2,0,0,0.8367,"sustantivo"
"167","escuela",2.8,3,3,0.4472,0,0,"sustantivo"
"168","papel",2.4,2.4,2.8,0.5477,0.5477,0.4472,"sustantivo"
"169","línea",2.2,2,3,0.4472,0.7071,0,"sustantivo"
"170","ejemplo",2.2,2.6,2,0.4472,0.5477,0.7071,"sustantivo"
"171","arte",3,2.8,2.6,0,0.4472,0.8944,"sustantivo"
"172","sangre",2,2,3,0.7071,0.7071,0,"sustantivo"
"173","estrella",3,2.6,3,0,0.5477,0,"sustantivo"
"174","edad",2,2,2,0.7071,0.7071,0.7071,"sustantivo"
"175","derecho",2.2,2.6,2,0.4472,0.5477,0.7071,"sustantivo"
"176","labio",2.4,2.4,3,0.5477,0.5477,0,"sustantivo"
"177","dios",2,2,1.6,0.7071,0.7071,0.8944,"sustantivo"
"178","posible",2.8,2.2,2.4,0.4472,0.4472,0.8944,"adjetivo"
"179","pueblo",2.6,1.8,2.6,0.5477,0.8367,0.5477,"sustantivo"
"180","medio",2,2,2.6,0,0,0.8944,"sustantivo"
"181","espacio",2.4,1.4,2,0.5477,0.5477,0.7071,"sustantivo"
"182","distrito",2,2,2,0,0,0.7071,"sustantivo"
"183","minuto",1.8,2.2,2,0.4472,0.4472,0,"sustantivo"
"184","igual",2.2,2,2.6,0.4472,0,0.5477,"adjetivo"
"185","departamento",2.2,1.8,2.8,0.4472,0.4472,0.4472,"sustantivo"
"186","nada",2,1.6,2,0,0.5477,1,"adverbio"
"187","cambio",2.6,2.8,2,0.5477,0.4472,0.7071,"sustantivo"
"188","gracia",2.8,2.2,2,0.4472,0.4472,1,"sustantivo"
"189","blanco",2.6,1.6,3,0.5477,0.8944,0,"adjetivo"
"190","personaje",2.8,2.6,2.4,0.4472,0.5477,0.5477,"sustantivo"
"191","semana",2,2.4,2.6,0.7071,0.5477,0.5477,"sustantivo"
"192","bajo",2,1.8,3,0,0.4472,0,"adjetivo"
"193","antiguo",2.6,1.4,2.8,0.5477,0.5477,0.4472,"adjetivo"
"194","localidad",2,2,2,0,0,0.7071,"sustantivo"
"195","lleno",2.2,1.6,3,0.4472,0.5477,0,"adjetivo"
"196","ser",2.8,3,2.2,0.4472,0,1.0954,"sustantivo"
"197","principio",2.4,2.4,1.8,0.5477,0.5477,0.8367,"sustantivo"
"198","negro",2,1.6,2.8,0,0.5477,0.4472,"adjetivo"
"199","oscuro",2,1.6,2.8,0,0.5477,0.4472,"adjetivo"
"200","ejército",1.6,2.6,3,0.8944,0.5477,0,"sustantivo"
"201","densidad",2,1.8,1.8,0,0.4472,0.8367,"sustantivo"
"202","frente",2,1.8,2,0,0.4472,0.7071,"adverbio"
"203","hermoso",3,2.2,2.6,0,0.8367,0.8944,"adjetivo"
"204","feliz",3,2.8,2.4,0,0.4472,0.8944,"adjetivo"
"205","poblacional",2,1.8,1.6,0,0.4472,0.5477,"adjetivo"
"206","situación",2,2,1.6,0,0.7071,0.5477,"sustantivo"
"207","anterior",2.2,1.8,1.6,0.4472,0.4472,0.8944,"adjetivo"
"208","largo",1.8,2,2.4,0.4472,0.7071,0.8944,"adjetivo"
"209","distinto",2.2,2.2,2.2,0.4472,0.4472,1.0954,"adjetivo"
"210","social",2.4,2,2,0.5477,0.7071,1,"adjetivo"
"211","título",1.8,2,2.6,0.4472,0,0.8944,"sustantivo"
"212","origen",2.2,1.8,1.8,0.4472,0.4472,0.8367,"sustantivo"
"213","actual",2,1.8,2.2,0,0.4472,0.8367,"adjetivo"
"214","bello",2.8,1.6,2.6,0.4472,0.8944,0.8944,"adjetivo"
"215","mayoría",1.8,2,2.4,0.4472,0.7071,0.8944,"sustantivo"
"216","área",2.2,1.4,2.6,0.4472,0.5477,0.8944,"sustantivo"
"217","chico",1.8,1.6,3,0.4472,0.5477,0,"sustantivo"
